vacancy-name,salary,link
PHP-программист,от 70 000 руб.,https://rostov.hh.ru/vacancy/28717482?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист PHP,80 000-120 000 руб.,https://rostov.hh.ru/vacancy/28876464?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Delphi разработчик,60 000-100 000 руб.,https://rostov.hh.ru/vacancy/28876411?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Delphi разработчик (Senior),100 000-150 000 руб.,https://rostov.hh.ru/vacancy/28876377?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Веб-программист,130 000-180 000 руб.,https://rostov.hh.ru/vacancy/28626639?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1C,40 000-70 000 руб.,https://rostov.hh.ru/vacancy/28909494?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С ERP,до 150 000 руб.,https://rostov.hh.ru/vacancy/28613109?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,от 100 000 руб.,https://rostov.hh.ru/vacancy/28807546?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист С#,,https://rostov.hh.ru/vacancy/27507325?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
"Программист PHP, JS Битрикс24 (стажер/junior)",от 20 000 руб.,https://career.ru/vacancy/28999255?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист,40 000-80 000 руб.,https://rostov.hh.ru/vacancy/28394486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист CMS 1С-Битрикс (Bitrix) / CRM Битрикс24,50 000-100 000 руб.,https://rostov.hh.ru/vacancy/28373895?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,,https://rostov.hh.ru/vacancy/28516447?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,70 000-120 000 руб.,https://rostov.hh.ru/vacancy/28893411?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист JS/PHP,60 000-90 000 руб.,https://rostov.hh.ru/vacancy/28807465?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик PowerBuilder & Pl/sql,,https://rostov.hh.ru/vacancy/28540164?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик C++/Qt/QML,,https://rostov.hh.ru/vacancy/28867702?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,30 000-100 000 руб.,https://rostov.hh.ru/vacancy/28646614?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Веб-программист / Web programmer,35 000-50 000 руб.,https://rostov.hh.ru/vacancy/28934653?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
.Net Junior web developer,от 20 500 руб.,https://rostov.hh.ru/vacancy/28815304?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior разработчик Oracle E-Business Suite,,https://rostov.hh.ru/vacancy/28540255?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
